lengthAt + tAtLength,5000000,4051,0.0008102,1234263
lengthAt + tAtLength,5000000,4025,0.000805,1242236
lengthAt + tAtLength,5000000,4160,0.000832,1201923
lengthAt + tAtLength,5000000,4159,0.0008318,1202212
lengthAt + tAtLength,5000000,4153,0.0008306,1203948
lengthAt + tAtLength,5000000,4251,0.0008502,1176193
lengthAt + tAtLength,5000000,4270,0.000854,1170960
lengthAt + tAtLength,5000000,4154,0.0008308,1203659
lengthAt + tAtLength,5000000,4158,0.0008316,1202501
lengthAt + tAtLength,5000000,4128,0.0008256,1211240
intersection-line,10000000,6020,0.000602,1661129
intersection-line,10000000,6018,0.0006018,1661681
intersection-line,10000000,6700,0.00067,1492537
intersection-line,10000000,6707,0.0006707,1490979
intersection-line,10000000,6697,0.0006697,1493205
intersection-line,10000000,6695,0.0006695,1493651
intersection-line,10000000,6695,0.0006695,1493651
intersection-line,10000000,6697,0.0006697,1493205
intersection-line,10000000,6696,0.0006696,1493428
intersection-line,10000000,6702,0.0006702,1492091
intersection-bezier,150000,1611,0.01074,93109
intersection-bezier,150000,1592,0.010613333333333334,94221
intersection-bezier,150000,1588,0.010586666666666666,94458
intersection-bezier,150000,1588,0.010586666666666666,94458
intersection-bezier,150000,1592,0.010613333333333334,94221
intersection-bezier,150000,1598,0.010653333333333334,93867
intersection-bezier,150000,1589,0.010593333333333333,94398
intersection-bezier,150000,1598,0.010653333333333334,93867
intersection-bezier,150000,1599,0.01066,93808
intersection-bezier,150000,1586,0.010573333333333334,94577
