intersection-line,10000000,7415,0.0007415,1348617
intersection-line,10000000,7354,0.0007354,1359804
intersection-line,10000000,7285,0.0007285,1372683
intersection-line,10000000,7273,0.0007273,1374948
intersection-line,10000000,7267,0.0007267,1376083
intersection-line,10000000,7272,0.0007272,1375137
intersection-line,10000000,7280,0.000728,1373626
intersection-line,10000000,7275,0.0007275,1374570
intersection-line,10000000,7299,0.0007299,1370050
intersection-line,10000000,7256,0.0007256,1378169
intersection-bezier,150000,2136,0.01424,70224
intersection-bezier,150000,2103,0.01402,71326
intersection-bezier,150000,2112,0.01408,71022
intersection-bezier,150000,2102,0.014013333333333333,71360
intersection-bezier,150000,2107,0.014046666666666667,71191
intersection-bezier,150000,2102,0.014013333333333333,71360
intersection-bezier,150000,2091,0.01394,71736
intersection-bezier,150000,2107,0.014046666666666667,71191
intersection-bezier,150000,2108,0.014053333333333333,71157
intersection-bezier,150000,2100,0.014,71428
